EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,OverTime,DistanceFromHome,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition
1,38,Male,Single,1,Life Sciences,Sales,Sales Executive,2,4157,5,0,3,5,No,10,Travel_Rarely,3,1,3,4,0
2,56,Female,Married,1,Medical,Sales,Manager,1,2332,0,3,5,0,No,2,Travel_Rarely,4,2,3,3,0
3,46,Female,Single,3,Life Sciences,Research & Development,Laboratory Technician,1,2889,4,0,2,3,No,11,Travel_Rarely,4,2,3,4,0
4,43,Male,Married,3,Human Resources,Research & Development,Laboratory Technician,2,3809,1,3,0,0,No,10,Travel_Rarely,2,1,2,1,0
5,32,Male,Married,2,Medical,Sales,Sales Representative,2,6009,2,0,0,0,No,19,Travel_Rarely,2,1,4,4,0
6,32,Female,Single,3,Medical,Research & Development,Laboratory Technician,4,13589,5,0,2,0,No,25,Travel_Rarely,4,1,2,3,0
7,28,Female,Married,2,Medical,Human Resources,Human Resources,3,9034,1,1,1,8,No,25,Travel_Rarely,3,2,2,3,0
8,51,Female,Married,1,Technical Degree,Human Resources,Human Resources,1,1169,0,0,0,0,No,14,Travel_Rarely,1,4,3,3,0
9,43,Female,Married,2,Marketing,Sales,Sales Representative,1,3337,0,2,1,4,No,11,Non-Travel,4,2,4,1,0
10,45,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,3,9239,0,0,3,8,Yes,9,Travel_Rarely,4,1,4,4,1
11,23,Female,Divorced,1,Marketing,Research & Development,Research Scientist,3,9415,0,1,1,1,No,7,Travel_Rarely,4,3,3,3,0
12,58,Male,Married,4,Medical,Research & Development,Research Scientist,2,6568,0,0,4,2,Yes,15,Travel_Rarely,4,4,3,1,0
13,49,Male,Married,3,Medical,Research & Development,Manufacturing Director,1,1739,1,0,4,3,Yes,20,Travel_Rarely,2,2,3,1,1
14,33,Male,Married,3,Life Sciences,Research & Development,Research Scientist,5,16841,1,0,3,1,No,17,Travel_Rarely,4,2,4,1,1
15,32,Male,Divorced,2,Medical,Research & Development,Manager,1,1456,21,1,12,0,No,3,Travel_Frequently,3,4,3,3,0
16,32,Male,Married,2,Life Sciences,Sales,Sales Executive,2,5748,1,1,1,1,No,15,Non-Travel,4,1,4,3,0
17,37,Male,Married,2,Technical Degree,Research & Development,Research Scientist,3,9026,0,1,3,3,Yes,14,Travel_Rarely,2,3,3,3,0
18,42,Female,Divorced,1,Life Sciences,Research & Development,Research Scientist,1,2325,3,6,5,3,Yes,8,Non-Travel,1,2,3,2,0
19,40,Male,Single,2,Other,Sales,Manager,3,9965,9,1,2,1,No,4,Travel_Rarely,3,4,3,3,0
20,36,Male,Divorced,3,Medical,Research & Development,Laboratory Technician,1,2601,5,4,4,0,No,26,Travel_Rarely,2,4,2,3,0
21,43,Male,Single,3,Medical,Research & Development,Research Scientist,4,16479,1,0,1,5,No,10,Travel_Rarely,4,4,4,1,0
22,31,Male,Married,3,Medical,Research & Development,Healthcare Representative,1,2284,4,0,2,0,Yes,2,Travel_Frequently,4,2,3,2,0
23,36,Male,Married,3,Life Sciences,Sales,Sales Executive,4,12146,6,0,0,3,No,14,Travel_Frequently,4,3,4,1,0
24,38,Male,Divorced,4,Life Sciences,Research & Development,Healthcare Representative,1,1230,6,0,12,0,No,8,Travel_Rarely,4,2,3,4,0
25,40,Female,Divorced,1,Life Sciences,Sales,Sales Executive,2,5997,5,1,4,4,No,23,Travel_Rarely,3,4,3,4,0
26,47,Female,Married,2,Medical,Sales,Sales Representative,2,5684,10,1,6,5,No,27,Travel_Rarely,4,4,3,4,0
27,33,Female,Married,2,Medical,Research & Development,Manager,2,3111,10,1,3,1,No,10,Travel_Rarely,4,3,3,2,0
28,41,Male,Married,3,Marketing,Sales,Sales Representative,1,1592,4,2,0,0,No,25,Travel_Rarely,4,3,3,4,0
29,43,Male,Divorced,5,Life Sciences,Research & Development,Research Scientist,2,6317,2,5,0,1,No,18,Non-Travel,3,1,4,3,0
30,28,Female,Married,2,Life Sciences,Sales,Sales Executive,1,3438,5,3,5,1,No,15,Travel_Rarely,3,3,3,3,0
31,43,Male,Married,4,Life Sciences,Sales,Manager,2,5439,8,0,1,1,Yes,5,Travel_Rarely,4,3,2,2,0
